#Index,X position (mm), Y position (mm), Length (um),Orientation #(deg), Area (Arbitrary)
188,-0.44815,0.01555,4.8765,77.844,73
189,-0.4792,-0.0472,5.9223,19.892,97
190,-0.4838,-0.0457,3.5,-10.11,76
191,-0.48485,-0.0653,5.4192,0.18487,85
192,-0.4934,0.0535,7.6262,89.529,375
193,-0.5528,-0.00705,3.2059,-37.873,72
194,-0.3786,-0.2096,5.3089,-11.78,199
195,-0.39095,-0.21675,3.549,27.579,130
196,-0.51085,-0.19835,10.461,89.217,1142
197,-0.5329,-0.2123,7.2279,-34.194,630
198,-0.37005,-0.37335,5.1683,37.258,85
199,-0.38545,-0.33455,4.6104,-0.19894,170
200,-0.40745,-0.27245,3.3459,-52.21,83
201,-0.4171,-0.3823,5.094,5.2476,226
202,-0.41515,-0.31075,5.3798,-58.326,174
203,-0.4637,-0.31115,6.1929,80.812,414
204,-0.4789,-0.3737,4.3396,-49.207,98
205,-0.4776,-0.33265,3.3399,-66.385,77
206,-0.47905,-0.34715,5.134,-70.788,204
207,-0.56545,-0.37395,6.0883,-12.671,164
208,-0.1553,-0.23825,11.144,2.8929,1044
209,-0.1844,-0.35305,5.0946,4.6521,300
210,-0.1888,-0.2781,8.3357,89.619,762
211,-0.20735,-0.3194,4.493,21.528,171
212,-0.2208,-0.30785,5.4685,74.047,275
213,-0.2476,-0.25495,6.7897,-83.292,464
214,-0.29415,-0.27925,6.6617,-47.757,141
215,-0.30455,-0.24125,7.8883,-33.949,256
216,-0.3162,-0.35985,6.1195,2.5404,316
217,-0.3322,-0.30585,6.3437,8.7991,304
218,-0.3372,-0.3029,6.843,7.4698,246
219,0.08745,-0.35255,5.1447,1.2952,203
220,0.0797,-0.3379,8.274,70.469,622
221,0.07275,-0.38515,4.0481,1.6545,78
222,0.04795,-0.27565,5.3148,-71.198,214
223,0.03525,-0.33395,5.2134,82.723,326
224,-0.0376,-0.362,6.0377,-0.94352,227
225,-0.04675,-0.3392,6.3904,75.923,436
226,0.35005,-0.24625,4.7675,-77.784,76
227,0.34315,-0.2582,4.3987,14.278,74
228,0.32505,-0.2988,5.0646,-16.773,139
229,0.3134,-0.356,4.8811,-3.3491,218
230,0.30545,-0.2443,4.7412,-89.403,81
231,0.2965,-0.3775,3.4698,-57.665,114
232,0.2886,-0.26615,6.0344,64.087,159
233,0.27055,-0.29555,5.1722,85.645,122
234,0.255,-0.38155,5.4241,2.8647,249
235,0.2448,-0.259,5.4277,-60.471,86
236,0.18395,-0.30415,4.8777,-47.77,75
237,0.1363,-0.40105,5.337,-56.603,200
238,0.59635,-0.27265,3.4348,63.624,87
239,0.5944,-0.29415,6.4411,-23.136,468
240,0.59245,-0.2709,3.9227,-11.798,84
241,0.5914,-0.27585,4.7423,-68.067,153
242,0.5838,-0.3157,3.566,79.857,74
243,0.5701,-0.2856,4.9908,-88.263,111
244,0.55745,-0.34285,4.7234,-2.8759,107
245,0.52885,-0.36365,4.444,80.073,115
246,0.52045,-0.3321,5.9272,75.727,339
247,0.51915,-0.24285,6.1625,89.273,107
248,0.5074,-0.2605,7.7689,77.266,397
249,0.49565,-0.3493,4.4808,74.691,104
250,0.43845,-0.35575,8.8836,87.119,847
251,0.5979,-0.111,4.7402,49.56,79
252,0.59235,-0.09975,14.672,-77.824,703
253,0.5956,-0.12665,5.6546,-21.697,161
254,0.5957,-0.07685,3.6289,7.9536,108
255,0.58855,-0.09105,3.8321,-56.54,81
256,0.58635,-0.10935,6.7315,-52.031,182
257,0.5867,-0.09755,5.0576,26.973,80
258,0.58435,-0.11605,5.6623,-26.056,124
259,0.58385,-0.1056,5.8644,27.713,82
260,0.5794,-0.197,3.4206,42.339,85
261,0.5709,-0.17085,6.8068,-26.27,524
262,0.5692,-0.1362,5.2694,-68.328,125
263,0.5388,-0.1444,3.6996,7.4642,81
264,0.53325,-0.18515,4.6704,75.56,175
265,0.53175,-0.1362,5.2003,-84.646,95
266,0.51775,-0.11585,5.3468,-84.183,224
267,0.59545,0.0248,6.245,82.505,115
268,0.5863,0.0806,6.9756,-26.868,218
269,0.5832,0.02,4.6903,-10.461,173
270,0.5218,-0.07,5.2146,14.88,272
271,0.49575,0.0782,5.014,-73.649,90
272,0.4266,0.0125,10.583,84.87,959
273,0.4075,0.03805,6.8101,46.149,352
274,0.5738,0.21795,9.6293,-28.194,853
275,0.54685,0.20815,4.2516,-73.08,113
276,0.4849,0.2017,6.764,89.365,286
277,0.4839,0.16915,6.5393,81.545,370
278,0.46835,0.23415,8.0734,-69.401,182
279,0.4511,0.11395,8.0864,89.224,742
280,0.5888,0.32585,5.1647,-12.192,160
281,0.58805,0.34205,4.7741,83.864,130
282,0.55805,0.35615,6.0597,72.669,412
283,0.53665,0.3161,4.7322,69.141,117
284,0.52935,0.2744,4.7704,6.5003,94
285,0.51745,0.27735,9.7987,73.726,826
286,0.4883,0.34005,9.807,74.25,934
287,0.47635,0.27895,10.183,64.046,1283
288,0.45665,0.24785,6.1814,-11.793,238
289,0.4225,0.32935,6.9118,-88.222,510
290,0.4042,0.33845,6.9456,5.5845,473
291,0.5989,0.5658,4.0084,79.076,94
292,0.59405,0.46885,4.861,-20.838,124
293,0.593,0.54745,6.3349,-15.872,81
294,0.591,0.5102,3.4173,-67.267,76
295,0.57005,0.44185,4.4839,-7.4362,114
296,0.5624,0.50945,4.0067,-79.654,100
297,0.5517,0.47255,8.8748,72.666,910
298,0.545,0.4202,4.387,-0.20578,125
299,0.49635,0.53695,9.3384,84.057,742
300,0.45405,0.43185,5.9104,-6.4685,357
301,0.4285,0.54615,7.2784,-37.03,157
302,0.3945,0.54525,7.9506,-15.664,275
303,0.3675,0.52975,4.7831,58.927,109
304,0.35725,0.51065,5.1145,-69.493,200
305,0.29555,0.4174,4.81,-0.99767,166
306,0.25745,0.56365,5.4118,-57.057,94
307,0.11895,0.5518,4.3009,89.973,90
308,0.0607,0.44445,4.8304,-10.823,231
309,0.0363,0.5264,6.1076,71.441,249
310,0.0294,0.45415,12.145,-80.48,1716
311,0.02305,0.4009,5.6201,11.335,222
312,0.0071,0.544,7.0379,84.166,324
313,-0.01575,0.5414,6.4509,74.444,257
314,-0.0707,0.49955,6.9198,-86.138,244
315,-0.1024,0.4828,12.959,88.265,1548
316,-0.1608,0.51125,5.2702,87.128,85
317,-0.18105,0.48895,5.3439,46.659,249
